weight_kg,weight_pounds,draft_year,player,height_feet,country,draft_pick,height_m,birth,draft_round
109kg,240lb,2012,Furkan Aldemir,"6'10""",TR,53,2.08,8/9/1991,2
115kg,253lb,2010,Cole Aldrich,"6'11""",USA,11,2.11,10/31/1988,1
113kg,250lb,2006,LaMarcus Aldridge,"6'11""",USA,2,2.11,7/19/1985,1
118kg,260lb,1982,Chuck Aleksinas,"6'11""",USA,76,2.11,2/26/1959,4
109kg,240lb,Undrafted,Cliff Alexander,"6'8""",USA,Undrafted,2.03,11/16/1995,Undrafted
86kg,190lb,1995,Cory Alexander,"6'1""",USA,29,1.85,6/22/1973,1
93kg,205lb,2000,Courtney Alexander,"6'5""",USA,13,1.96,4/27/1977,1
109kg,240lb,Undrafted,Gary Alexander,"6'7""",USA,Undrafted,2.01,11/1/1969,Undrafted
104kg,230lb,2008,Joe Alexander,"6'8""",USA,8,2.03,12/26/1986,1
98kg,216lb,Undrafted,Kyle Alexander,"6'10""",CA,Undrafted,2.08,10/21/1996,Undrafted
84kg,185lb,Undrafted,Trey Alexander,"6'4""",USA,Undrafted,1.93,5/2/2003,Undrafted
88kg,195lb,Undrafted,Ty-Shon Alexander,"6'3""",USA,Undrafted,1.91,7/16/1998,Undrafted
120kg,265lb,1991,Victor Alexander,"6'10""",USA,17,2.08,8/31/1969,1
93kg,205lb,2019,Nickeil Alexander-Walker,"6'5""",CA,17,1.96,9/2/1998,1
83kg,183lb,1987,Steve Alford,"6'2""",USA,26,1.88,11/23/1964,2
102kg,225lb,Undrafted,Rawle Alkins,"6'5""",USA,Undrafted,1.96,10/29/1997,Undrafted
93kg,205lb,1968,Bob Allen,"6'9""",USA,71,2.06,7/17/1946,6
90kg,198lb,2018,Grayson Allen,"6'4""",USA,21,1.93,10/8/1995,1
110kg,243lb,2017,Jarrett Allen,"6'9""",USA,22,2.06,4/21/1998,1
83kg,184lb,1995,Jerome Allen,"6'4""",USA,49,1.93,1/28/1973,2
91kg,200lb,2017,Kadeem Allen,"6'1""",USA,53,1.85,1/15/1993,2
79kg,175lb,1969,Lucius Allen,"6'2""",USA,3,1.88,9/26/1947,1
118kg,260lb,2011,Lavoy Allen,"6'9""",USA,50,2.06,2/4/1989,2
116kg,255lb,Undrafted,Malik Allen,"6'10""",USA,Undrafted,2.08,6/27/1978,Undrafted
100kg,220lb,Undrafted,Randy Allen,"6'8""",USA,Undrafted,2.03,1/26/1965,Undrafted
93kg,205lb,1996,Ray Allen,"6'5""",USA,5,1.96,7/20/1975,1
95kg,210lb,Undrafted,Timmy Allen,"6'6""",USA,Undrafted,1.98,1/9/2000,Undrafted
97kg,213lb,2004,Tony Allen,"6'4""",USA,25,1.93,1/11/1982,1
88kg,195lb,1971,Odis Allison,"6'6""",USA,76,1.98,10/2/1949,5
113kg,250lb,Undrafted,Lance Allred,"6'11""",USA,Undrafted,2.11,2/2/1981,Undrafted
100kg,220lb,1980,Darrell Allums,"6'8""",USA,103,2.03,9/12/1958,5
102kg,225lb,2007,Morris Almond,"6'6""",USA,25,1.98,2/2/1985,1
102kg,225lb,1994,Derrick Alston,"6'11""",USA,33,2.11,8/20/1972,2
79kg,175lb,1998,Rafer Alston,"6'2""",USA,39,1.88,7/24/1976,2
118kg,260lb,Undrafted,Peter Aluma,"6'10""",USA,Undrafted,2.08,4/26/1973,Undrafted
81kg,179lb,Undrafted,Jose Alvarado,"6'0""",USA,Undrafted,1.83,4/12/1998,Undrafted
122kg,270lb,Undrafted,John Amaechi,"6'10""",N/A,Undrafted,2.08,11/26/1970,Undrafted
104kg,230lb,Undrafted,Ashraf Amaya,"6'8""",USA,Undrafted,2.03,11/23/1971,Undrafted
100kg,220lb,2010,Al-Farouq Aminu,"6'8""",USA,8,2.03,9/21/1990,1
100kg,220lb,Undrafted,Lou Amundson,"6'9""",USA,Undrafted,2.06,12/7/1982,Undrafted
91kg,200lb,1959,Bob Anderegg,"6'3""",USA,20,1.91,8/24/1937,3
111kg,245lb,Undrafted,Chris Andersen,"6'10""",USA,Undrafted,2.08,7/7/1978,Undrafted
100kg,220lb,Undrafted,Alan Anderson,"6'6""",USA,Undrafted,1.98,10/16/1982,Undrafted
98kg,215lb,Undrafted,Antonio Anderson,"6'6""",USA,Undrafted,1.98,6/5/1985,Undrafted
91kg,200lb,1967,Cliff Anderson,"6'2""",USA,35,1.88,9/7/1944,4
84kg,185lb,1974,Daniel Anderson,"6'2""",USA,92,1.88,1/1/1951,6
84kg,185lb,1982,Dwight Anderson,"6'3""",USA,41,1.91,12/28/1960,2
88kg,195lb,1997,Derek Anderson,"6'5""",USA,13,1.96,7/18/1974,1
100kg,220lb,Undrafted,Eric Anderson,"6'9""",USA,Undrafted,2.06,5/26/1970,Undrafted
113kg,250lb,1987,Greg Anderson,"6'10""",USA,23,2.08,6/22/1964,1
97kg,213lb,2010,James Anderson,"6'6""",USA,20,1.98,3/25/1989,1
88kg,195lb,1975,Jerome Anderson,"6'5""",USA,53,1.96,10/9/1953,3
105kg,231lb,2015,Justin Anderson,"6'5""",USA,21,1.96,11/19/1993,1
76kg,168lb,1991,Kenny Anderson,"6'1""",USA,2,1.85,10/9/1970,1
91kg,200lb,1978,Kim Anderson,"6'7""",USA,146,2.01,5/12/1955,7
104kg,230lb,2014,Kyle Anderson,"6'9""",USA,30,2.06,9/20/1993,1
98kg,215lb,2021,Santi Aldama,"7'0""",ES,30,2.13,1/10/2001,1
83kg,184lb,1988,Michael Anderson,"5'11""",USA,73,1.8,3/23/1966,3
88kg,195lb,1982,Mitchell Anderson,"6'8""",USA,36,2.03,9/23/1960,2
103kg,228lb,1989,Nick Anderson,"6'6""",USA,11,1.98,1/20/1968,1
109kg,240lb,1982,Richard Anderson,"6'10""",USA,32,2.08,11/19/1960,2
98kg,215lb,1984,Ron Anderson,"6'7""",USA,27,2.01,10/15/1958,2
109kg,240lb,2008,Ryan Anderson,"6'9""",USA,21,2.06,5/6/1988,1
98kg,215lb,1996,Shandon Anderson,"6'6""",USA,54,1.98,12/31/1973,2
91kg,200lb,1988,Willie Anderson,"6'8""",USA,10,2.03,1/8/1967,1
100kg,220lb,1969,Wally Anderzunas,"6'7""",USA,25,2.01,1/11/1946,2
109kg,240lb,2005,Martynas Andriuskevicius,"7'2""",LT,44,2.18,3/12/1986,2
86kg,190lb,1954,Don Anielak,"6'7""",USA,26,2.01,11/1/1930,3
113kg,250lb,2017,Ike Anigbogu,"6'10""",USA,47,2.08,10/16/1998,2
102kg,225lb,1989,Michael Ansley,"6'7""",USA,37,2.01,2/8/1967,2
113kg,249lb,1997,Chris Anstey,"7'0""",AU,18,2.13,1/1/1975,1
110kg,243lb,2013,Giannis Antetokounmpo,"6'11""",GR,15,2.11,12/6/1994,1
